fraud,trustLevel,totalScanTimeInSeconds,lineItemVoids,quantityModification,grandTotal,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,scansWithoutRegistration
1,1,1424,11,5,72.33,0.0168539,0.0507935,0.458333,4
1,1,1599,1,4,68.14,0.0162602,0.0426141,0.0384615,6
1,1,383,0,0,74.43,0.078329,0.194334,0,7
1,1,1715,11,4,21.86,0.0122449,0.0127464,0.52381,9
1,1,1149,7,0,67.82,0.0208877,0.0590252,0.291667,5
1,2,1698,6,2,18.33,0.0170789,0.0107951,0.206897,0
1,1,1715,3,3,67.69,0.012828,0.0394694,0.136364,8
1,2,1510,9,0,35.26,0.0165563,0.023351,0.36,8
1,1,1461,10,0,43.12,0.0130048,0.029514,0.526316,9
1,1,991,2,0,41.78,0.0262361,0.0421594,0.0769231,8
1,1,1830,1,3,35.35,0.0125683,0.0193169,0.0434783,5
1,1,1420,1,0,77.27,0.0183099,0.0544155,0.0384615,7
1,1,298,9,3,13.74,0.0838926,0.0461074,0.36,5
1,1,1203,11,2,0.31,0.0216126,0.000257689,0.423077,7
1,1,1189,10,4,65.63,0.0252313,0.0551976,0.333333,6
1,1,1043,11,1,13.92,0.0287632,0.0133461,0.366667,9
1,2,1573,7,0,61.02,0.0171647,0.0387921,0.259259,8
1,1,960,11,0,34.21,0.0229167,0.0356354,0.5,6
1,1,134,9,4,18.16,0.208955,0.135522,0.321429,9
1,1,423,11,4,19.62,0.0472813,0.046383,0.55,10
1,1,1565,9,5,87.05,0.0178914,0.055623,0.321429,4
1,1,1256,7,4,17.65,0.0230892,0.0140525,0.241379,4
1,1,1597,6,0,99.51,0.0187852,0.0623106,0.2,9
1,1,1486,8,5,18.36,0.0141319,0.0123553,0.380952,7
1,1,1422,7,4,40.91,0.0175809,0.0287693,0.28,4
1,1,1305,8,2,45.88,0.0206897,0.0351571,0.296296,2
1,1,1459,9,0,76.54,0.0157642,0.0524606,0.391304,10
1,1,923,7,4,59.5,0.028169,0.0644637,0.269231,4
1,1,1056,0,2,57.14,0.0246212,0.0541098,0,8
1,2,1731,5,2,36.78,0.0161756,0.0212478,0.178571,4
1,1,869,10,1,90.18,0.0253165,0.103774,0.454545,7
1,1,1254,6,5,29.1,0.0175439,0.0232057,0.272727,5
1,2,807,9,0,13.35,0.0371747,0.0165428,0.3,8
1,1,997,5,1,61.44,0.0230692,0.0616249,0.217391,10
1,2,1213,6,0,58.89,0.0239077,0.0485491,0.206897,5
1,2,1204,9,3,97.4,0.0249169,0.080897,0.3,7
1,2,1679,6,5,26.92,0.0154854,0.0160334,0.230769,9
1,1,1614,4,5,57.61,0.0154895,0.0356939,0.16,0
1,1,46,6,1,30.32,0.608696,0.65913,0.214286,8
1,2,1758,9,2,40.43,0.0159272,0.0229977,0.321429,2
1,2,954,6,4,83.25,0.0303983,0.0872642,0.206897,6
1,2,1331,6,2,46.3,0.0225394,0.0347859,0.2,7
1,1,1221,3,3,81.03,0.02457,0.0663636,0.1,3
1,1,600,3,0,85.31,0.0466667,0.142183,0.107143,10
1,1,106,9,0,22.46,0.273585,0.211887,0.310345,5
1,1,1015,8,0,59.43,0.0226601,0.0585517,0.347826,10
1,1,1782,10,2,63.67,0.0140292,0.0357295,0.4,2
1,1,871,11,1,77.95,0.0287026,0.0894948,0.44,5
1,1,326,9,3,35.65,0.0920245,0.109356,0.3,3
1,1,985,11,4,35.07,0.0233503,0.0356041,0.478261,2
1,2,1678,3,2,95.67,0.0160906,0.0570143,0.111111,7
1,2,1513,10,5,35.68,0.0185063,0.0235823,0.357143,6
1,1,1067,4,2,28.74,0.022493,0.0269353,0.166667,9
1,1,870,3,4,59.85,0.0287356,0.0687931,0.12,10
1,1,913,5,4,64.72,0.0284775,0.0708872,0.192308,2
1,2,1821,1,5,82.41,0.0153762,0.0452554,0.0357143,10
1,1,180,10,2,12.92,0.155556,0.0717778,0.357143,2
1,1,1453,11,0,82.03,0.0130764,0.0564556,0.578947,8
1,1,1551,10,0,32.62,0.0161186,0.0210316,0.4,5
1,2,1323,6,1,67.53,0.021164,0.0510431,0.214286,5
1,1,1804,1,1,40.04,0.0133038,0.0221951,0.0416667,3
1,1,1690,10,3,14.61,0.0136095,0.00864497,0.434783,5
1,1,1645,6,4,89.3,0.0158055,0.0542857,0.230769,4
1,1,1753,4,5,1.56,0.0131204,0.000889903,0.173913,4
1,1,276,6,1,44.43,0.105072,0.160978,0.206897,9
1,1,1702,10,5,49.91,0.0111633,0.0293243,0.526316,4
1,2,1324,11,0,21.66,0.0219033,0.0163595,0.37931,4
1,1,835,8,4,21.84,0.0323353,0.0261557,0.296296,3
1,2,1522,7,2,76.53,0.0190539,0.0502825,0.241379,8
1,1,1718,11,4,14.34,0.0116414,0.00834692,0.55,5
1,2,1165,9,0,26.33,0.023176,0.0226009,0.333333,7
1,1,1306,2,3,11.99,0.017611,0.0091807,0.0869565,8
1,1,1595,3,3,49.25,0.0125392,0.0308777,0.15,9
1,2,426,9,2,34.27,0.0657277,0.080446,0.321429,6
1,2,1119,9,5,73.84,0.0223414,0.0659875,0.36,10
1,1,861,2,0,49.31,0.0325203,0.0572706,0.0714286,8
1,1,1344,4,1,81.68,0.016369,0.0607738,0.181818,9
1,1,1304,6,0,61.11,0.0161043,0.0468635,0.285714,7
1,1,1808,9,5,53.36,0.00995575,0.0295133,0.5,8
1,1,1381,5,5,19.05,0.0181028,0.0137944,0.2,8
1,1,1732,11,2,98.27,0.0132794,0.0567379,0.478261,5
1,1,587,6,4,85.16,0.0477002,0.145077,0.214286,6
1,1,1530,4,2,83.92,0.0124183,0.0548497,0.210526,8
1,1,550,6,4,10.25,0.0418182,0.0186364,0.26087,8
1,1,1140,1,5,51.81,0.0210526,0.0454474,0.0416667,9
1,1,248,3,1,18.57,0.104839,0.074879,0.115385,8
1,2,1772,10,5,80.55,0.0146727,0.0454571,0.384615,6
1,1,1077,3,1,43.31,0.0259981,0.0402136,0.107143,3
1,2,1162,9,2,0.19,0.024957,0.000163511,0.310345,7
1,2,729,6,4,66.68,0.037037,0.0914678,0.222222,10
1,1,1311,7,0,7.08,0.0213577,0.00540046,0.25,8
1,1,148,6,1,18.44,0.195946,0.124595,0.206897,3
1,1,1504,1,1,62.29,0.0166223,0.0414162,0.04,7
1,1,1168,11,3,69.86,0.0205479,0.0598116,0.458333,2
1,1,1770,2,0,13.94,0.0169492,0.00787571,0.0666667,5
1,1,1678,5,1,41.72,0.0137068,0.0248629,0.217391,6
1,1,1268,5,5,62.84,0.0189274,0.0495584,0.208333,8
1,1,1049,11,3,88.49,0.0209724,0.0843565,0.5,4
1,1,364,0,3,75.29,0.0686813,0.206841,0,8
1,1,955,4,5,96.52,0.0303665,0.101068,0.137931,1
1,1,367,9,4,31.89,0.0817439,0.0868937,0.3,10
1,1,267,11,2,1.88,0.104869,0.0070412,0.392857,4
1,1,116,5,3,94.28,0.258621,0.812759,0.166667,10
1,1,1177,0,0,75.38,0.0220901,0.0640442,0,8
1,1,872,9,4,59.5,0.0332569,0.0682339,0.310345,5
1,2,1805,3,3,39.38,0.0127424,0.0218172,0.130435,8
1,2,808,7,3,87.9,0.0371287,0.108787,0.233333,10
1,1,439,8,4,36.06,0.047836,0.0821412,0.380952,8
1,1,1575,9,2,67.38,0.0126984,0.042781,0.45,5
1,2,1633,3,1,22.04,0.0153092,0.0134966,0.12,9
1,1,1099,5,4,57.71,0.0245678,0.0525114,0.185185,8
1,1,523,7,4,1.3,0.0439771,0.00248566,0.304348,9
1,1,239,10,3,47.75,0.117155,0.199791,0.357143,1
1,1,1471,0,0,86.16,0.0197145,0.0585724,0,5
1,1,43,4,2,86.62,0.697674,2.01442,0.133333,8
1,1,1307,6,0,97.4,0.0214231,0.0745218,0.214286,9
1,1,1716,5,5,87.59,0.0151515,0.0510431,0.192308,5
1,1,1325,7,3,99.36,0.0226415,0.0749887,0.233333,1
1,2,1824,3,4,28.17,0.0131579,0.0154441,0.125,10
1,1,1344,9,5,11.75,0.0186012,0.00874256,0.36,8
1,2,1809,3,2,47.01,0.0149254,0.0259867,0.111111,7
1,1,578,11,5,1.8,0.050173,0.00311419,0.37931,4
1,1,1734,3,5,36.55,0.0126874,0.0210784,0.136364,4
1,1,938,4,2,69.52,0.0298507,0.0741151,0.142857,10
1,2,1491,8,4,18.75,0.01945,0.0125755,0.275862,6
1,1,1062,10,5,52.62,0.0282486,0.049548,0.333333,0
1,1,1631,10,1,45.67,0.015328,0.0280012,0.4,3
1,1,1402,10,3,26.1,0.0135521,0.0186163,0.526316,7
1,2,187,7,4,21.49,0.144385,0.11492,0.259259,8
1,1,1458,5,2,79.27,0.0164609,0.054369,0.208333,8
1,1,1201,11,1,33.85,0.0241465,0.0281848,0.37931,3
1,1,696,7,4,29.97,0.0416667,0.0430603,0.241379,9
1,2,217,7,3,41.56,0.138249,0.191521,0.233333,9
1,2,1062,7,2,30.02,0.0282486,0.0282674,0.233333,6
1,1,659,9,5,21.91,0.0394537,0.0332473,0.346154,8
1,1,1487,4,4,51.52,0.0174849,0.0346469,0.153846,0
1,2,550,9,1,53.92,0.0527273,0.0980364,0.310345,7
1,1,353,4,5,44.28,0.0793201,0.125439,0.142857,9
1,2,1307,10,5,39.7,0.0183627,0.0303749,0.416667,9
1,2,588,9,1,68.86,0.0493197,0.117109,0.310345,8
1,2,1758,7,0,51.81,0.013083,0.029471,0.304348,9
1,2,1641,10,0,32.99,0.015844,0.0201036,0.384615,10
1,1,720,9,5,17.73,0.0361111,0.024625,0.346154,10
1,1,1806,1,4,52.63,0.0138427,0.0291417,0.04,4
1,2,293,11,5,10.9,0.0989761,0.0372014,0.37931,8
1,2,1297,6,5,85.03,0.0223593,0.065559,0.206897,4
1,1,625,8,1,81.43,0.0448,0.130288,0.285714,0
1,1,1730,0,0,75.61,0.016185,0.0437052,0,3
1,2,1115,7,5,93.8,0.026009,0.0841256,0.241379,8
1,1,1699,10,0,58.63,0.0176574,0.0345085,0.333333,9
1,1,776,8,2,85.1,0.0309278,0.109665,0.333333,9
1,1,947,5,5,48.16,0.0232313,0.0508553,0.227273,8
1,1,1360,5,4,27.29,0.0198529,0.0200662,0.185185,8
1,1,296,1,4,88.61,0.101351,0.299358,0.0333333,5
1,2,1336,8,3,2.95,0.0224551,0.00220808,0.266667,6
1,1,1425,7,0,60.36,0.0168421,0.0423579,0.291667,7
1,2,1519,11,4,75.64,0.0184332,0.0497959,0.392857,7
1,1,1712,4,3,45.83,0.0169393,0.0267699,0.137931,1
1,2,1586,8,2,94.25,0.0189155,0.0594262,0.266667,1
1,1,1007,1,5,40.99,0.0258193,0.0407051,0.0384615,6
1,1,1496,10,5,90.38,0.0160428,0.0604144,0.416667,4
1,1,1383,1,2,61.54,0.0187997,0.0444975,0.0384615,7
1,1,1619,9,5,30.41,0.0117356,0.0187832,0.473684,7
1,1,1519,6,1,35.68,0.0197498,0.0234891,0.2,9
1,1,484,11,2,52.14,0.0454545,0.107727,0.5,8
1,1,1018,2,4,18.49,0.0294695,0.0181631,0.0666667,2
1,1,1234,6,5,68.26,0.0226904,0.055316,0.214286,7
1,1,957,4,0,92.18,0.031348,0.0963218,0.133333,7
1,1,1060,3,1,82.56,0.0254717,0.0778868,0.111111,8
1,1,1230,7,5,59.05,0.0170732,0.0480081,0.333333,7
1,1,393,5,4,58.17,0.0763359,0.148015,0.166667,6
1,1,1460,8,0,81.95,0.0184932,0.0561301,0.296296,0
1,1,1198,0,1,38.13,0.0225376,0.031828,0,9
1,1,643,10,1,46.03,0.0466563,0.0715863,0.333333,6
1,2,882,11,1,95.29,0.0294785,0.108039,0.423077,10
1,2,1724,3,3,50.14,0.0168213,0.0290835,0.103448,2
1,1,174,7,2,62.81,0.137931,0.360977,0.291667,8
1,1,1483,0,0,57.44,0.0168577,0.0387323,0,8
1,1,1234,3,4,87.29,0.0235008,0.0707374,0.103448,10
1,2,1063,10,4,58.58,0.0263405,0.0551082,0.357143,7
1,2,1617,9,5,66.37,0.0142239,0.0410451,0.391304,10
1,1,384,7,3,89.5,0.078125,0.233073,0.233333,3
1,1,1699,3,3,81.06,0.0164803,0.0477104,0.107143,3
1,2,1822,10,4,95.3,0.0137212,0.0523052,0.4,10
1,2,1023,9,0,29.63,0.0293255,0.0289638,0.3,9
1,1,1566,1,1,61.9,0.0191571,0.0395275,0.0333333,0
1,1,754,4,2,0.51,0.0318302,0.000676393,0.166667,10
1,1,719,3,0,81.56,0.0417246,0.113435,0.1,2
1,1,469,11,2,55.72,0.0639659,0.118806,0.366667,5
1,1,1423,2,5,3.19,0.0210822,0.00224174,0.0666667,10
1,1,1434,10,2,63.84,0.0125523,0.0445188,0.555556,10
1,1,1158,0,3,40.29,0.0233161,0.0347927,0,5
1,2,1723,10,5,35.68,0.0133488,0.0207081,0.434783,10
1,1,1459,2,5,35.45,0.0191912,0.0242975,0.0714286,4
1,1,1616,7,2,1.46,0.0173267,0.000903465,0.25,3
1,1,1132,4,5,50.15,0.024735,0.0443021,0.142857,0
1,1,30,10,3,99.69,0.966667,3.323,0.344828,6
1,1,1359,6,1,84.17,0.0147167,0.0619352,0.3,10
1,2,1078,9,3,88.03,0.0269017,0.0816605,0.310345,3
1,2,1314,10,2,54.56,0.02207,0.0415221,0.344828,3
1,1,1124,3,1,96.94,0.019573,0.0862456,0.136364,9
1,1,994,1,4,47.77,0.0261569,0.0480584,0.0384615,7
1,2,1198,9,5,17.5,0.024207,0.0146077,0.310345,10
1,1,1568,4,0,38.48,0.0127551,0.0245408,0.2,8
1,1,490,11,0,22.03,0.044898,0.0449592,0.5,5
1,2,1107,8,0,60.81,0.0234869,0.0549322,0.307692,8
1,2,1428,10,2,65.71,0.0210084,0.0460154,0.333333,2
1,1,220,3,0,47.02,0.118182,0.213727,0.115385,7
1,2,968,10,4,22.28,0.0299587,0.0230165,0.344828,8
1,1,1773,8,1,88.13,0.0141004,0.0497067,0.32,10
1,1,1487,4,5,36.55,0.0147949,0.0245797,0.181818,9
1,2,1530,7,4,96.95,0.0189542,0.063366,0.241379,2
1,1,1330,4,0,26.66,0.0210526,0.0200451,0.142857,7
1,1,632,3,5,29.55,0.0458861,0.0467563,0.103448,1
1,1,1413,9,4,92.13,0.0169851,0.0652017,0.375,9
1,1,1693,0,1,89.38,0.0129947,0.0527939,0,10
1,1,1206,3,5,87.67,0.0240464,0.0726949,0.103448,5
1,1,1067,5,2,65.32,0.0215558,0.0612184,0.217391,9
1,1,1037,1,2,74.93,0.024108,0.0722565,0.04,9
1,1,1696,11,3,2.54,0.0165094,0.00149764,0.392857,7
1,2,675,11,3,81.8,0.04,0.121185,0.407407,9
1,1,1636,0,1,9,0.0177262,0.00550122,0,7
1,1,1798,4,0,80.38,0.0133482,0.0447052,0.166667,10
1,1,1314,3,5,80.16,0.0175038,0.0610046,0.130435,5
1,2,1829,3,0,44.21,0.0164024,0.0241717,0.1,3
1,1,1791,2,0,95.95,0.012842,0.0535734,0.0869565,6
1,1,990,9,5,19.55,0.0191919,0.0197475,0.473684,9
1,1,751,4,0,51.14,0.0399467,0.0680959,0.133333,5
1,1,566,2,5,71.23,0.0512367,0.125848,0.0689655,10
1,1,1055,9,5,32.92,0.0227488,0.0312038,0.375,7
1,1,1124,5,4,52.49,0.0240214,0.0466993,0.185185,2
1,1,1140,7,5,32.03,0.0192982,0.0280965,0.318182,10
1,1,124,3,0,23.85,0.201613,0.192339,0.12,8
1,1,1296,1,5,40.4,0.0208333,0.0311728,0.037037,10
1,1,898,10,1,54.45,0.032294,0.0606347,0.344828,7
1,2,1828,9,2,74.71,0.0158643,0.0408698,0.310345,10
1,2,892,6,5,63.66,0.0325112,0.0713677,0.206897,8
1,1,1449,6,1,70.24,0.0131125,0.0484748,0.315789,9
1,2,985,8,1,74.2,0.0284264,0.0753299,0.285714,7
1,2,1276,9,5,42.85,0.0180251,0.0335815,0.391304,9
1,2,1203,11,1,11.53,0.0241064,0.00958437,0.37931,1
1,1,1210,8,3,32.25,0.0206612,0.0266529,0.32,1
1,1,440,5,0,32.93,0.0636364,0.0748409,0.178571,4
1,1,1250,11,1,45.49,0.0176,0.036392,0.5,9
1,1,1666,9,0,75.74,0.0144058,0.0454622,0.375,9
1,1,1378,6,3,35.83,0.021045,0.0260015,0.206897,9
1,2,463,9,0,96.73,0.0561555,0.20892,0.346154,10
1,1,1542,11,1,73.12,0.0129702,0.0474189,0.55,7
1,1,45,10,5,41.53,0.644444,0.922889,0.344828,7
1,1,1664,2,4,91.96,0.015625,0.0552644,0.0769231,9
1,1,1295,8,2,66.24,0.0177606,0.0511506,0.347826,10
1,1,447,3,3,13.57,0.0671141,0.0303579,0.1,5
1,1,1217,5,5,94.07,0.021364,0.0772966,0.192308,5
1,1,325,3,0,84.67,0.0923077,0.260523,0.1,4
1,2,1748,6,1,55.62,0.0160183,0.0318192,0.214286,5
1,1,1204,0,2,25.31,0.0199336,0.0210216,0,6
1,1,1701,0,3,5.69,0.0176367,0.00334509,0,1
1,1,1713,7,0,25.61,0.0134267,0.0149504,0.304348,1
1,1,1086,9,0,81.75,0.0276243,0.0752762,0.3,7
1,1,513,9,5,56,0.0467836,0.109162,0.375,5
1,1,1046,9,2,85.34,0.0258126,0.081587,0.333333,8
1,1,1778,6,1,8.11,0.011811,0.0045613,0.285714,9
1,1,952,10,1,74.91,0.0241597,0.078687,0.434783,5
1,1,576,10,5,68.23,0.0434028,0.118455,0.4,8
1,1,559,9,0,64.98,0.0411449,0.116243,0.391304,9
1,1,520,4,1,20.18,0.05,0.0388077,0.153846,9
1,1,1701,7,0,71.74,0.0164609,0.0421752,0.25,2
1,1,1680,0,1,13.89,0.0178571,0.00826786,0,10
1,1,393,7,5,34.88,0.0534351,0.0887532,0.333333,10
1,1,1789,11,0,3.86,0.0117384,0.00215763,0.52381,1
1,1,49,7,5,46.87,0.571429,0.956531,0.25,8
1,1,1825,3,3,32.36,0.0120548,0.0177315,0.136364,3
1,1,1809,10,1,54.92,0.016031,0.0303593,0.344828,8
1,1,821,11,1,76.17,0.0328867,0.0927771,0.407407,6
1,2,183,11,3,74.4,0.163934,0.406557,0.366667,8
1,1,1096,7,1,40.83,0.0255474,0.0372536,0.25,7
1,1,951,5,5,54.72,0.0283912,0.0575394,0.185185,3
1,1,1532,9,0,65.89,0.0156658,0.0430091,0.375,6
1,1,1393,4,2,49.9,0.0186648,0.035822,0.153846,2
1,2,1126,2,0,60.45,0.0257549,0.0536856,0.0689655,9
1,1,1343,8,4,69.48,0.022338,0.0517349,0.266667,7
1,2,1802,7,3,81.62,0.0160932,0.0452941,0.241379,8
1,1,1402,7,0,21.03,0.0142653,0.015,0.35,10
1,1,224,8,4,54.25,0.120536,0.242188,0.296296,8
1,1,1569,10,3,63.52,0.0133843,0.0404844,0.47619,5
