fraud,totalScanTimeInSeconds,lineItemVoids,quantityModification,grandTotal,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,scansWithoutRegistration,trustLevel
0,51,8,5,40.4,0.27451,0.792157,0.571429,7,5
0,870,8,4,72.77,0.0344828,0.0836437,0.266667,7,3
0,542,9,1,65.48,0.0405904,0.120812,0.409091,10,6
0,1713,1,1,26.35,0.00525394,0.0153824,0.111111,9,3
0,998,10,2,96.39,0.00400802,0.0965832,2.5,3,4
0,352,7,1,49.14,0.03125,0.139602,0.636364,0,2
0,1146,7,5,66.06,0.0095986,0.057644,0.636364,1,1
0,1666,2,0,84.48,0.0108043,0.0507083,0.111111,7,5
0,449,10,5,93.16,0.0244989,0.207483,0.909091,7,3
0,606,10,5,32.74,0.0445545,0.0540264,0.37037,8,6
0,1443,4,0,96.34,0.00831601,0.0667637,0.333333,5,3
0,27,2,1,14.1,0.592593,0.522222,0.125,7,3
0,299,0,3,29.75,0.0568562,0.0994983,0,5,1
0,46,1,0,62.11,0.173913,1.35022,0.125,10,3
0,960,6,3,88.29,0.01875,0.0919688,0.333333,10,4
0,468,10,3,49.21,0.00213675,0.10515,10,4,4
0,328,5,5,14.84,0.0182927,0.0452439,0.833333,3,1
0,578,10,0,29.77,0.0397924,0.0515052,0.434783,7,6
0,828,1,4,26.95,0.013285,0.0325483,0.0909091,4,3
0,61,0,4,33.16,0.0163934,0.543607,0,10,2
0,523,3,0,93.65,0.00382409,0.179063,1.5,4,5
0,406,8,1,59.33,0.00985222,0.146133,2,4,3
0,1616,2,2,41.99,0.00371287,0.0259839,0.333333,3,4
0,1318,10,0,79.44,0.0091047,0.0602731,0.833333,6,6
0,991,0,4,27,0.00201816,0.0272452,0,9,2
0,1300,3,0,81.04,0.00615385,0.0623385,0.375,5,5
0,320,8,0,90.16,0.05625,0.28175,0.444444,1,2
0,741,5,0,77.93,0.0202429,0.105169,0.333333,8,1
0,521,5,5,40.09,0.0441459,0.0769482,0.217391,0,3
0,353,8,2,44.62,0.0566572,0.126402,0.4,7,1
0,1770,8,3,46.89,0.000564972,0.0264915,8,10,2
0,814,5,5,72.49,0.004914,0.0890541,1.25,5,2
0,1480,7,4,66.53,0.00810811,0.0449527,0.583333,9,5
1,1396,10,5,23.43,0.0200573,0.0167837,0.357143,4,2
0,54,8,0,44.05,0.407407,0.815741,0.363636,7,6
0,1072,3,2,57.87,0.0214552,0.0539832,0.130435,8,4
0,435,4,3,26.54,0.045977,0.0610115,0.2,6,4
0,1497,2,1,41.25,0.00534402,0.0275551,0.25,8,3
0,331,11,5,55.51,0.0422961,0.167704,0.785714,4,5
0,440,9,0,73.2,0.0363636,0.166364,0.5625,2,1
0,1663,9,1,74.13,0.0120265,0.0445761,0.45,5,2
0,1065,11,0,51.84,0.0103286,0.0486761,1,0,6
0,1307,11,2,81.69,0.00382555,0.0625019,2.2,9,2
0,1585,8,4,29.26,0.0113565,0.0184606,0.444444,10,4
0,1664,8,5,8.41,0.00901442,0.00505409,0.533333,9,2
0,106,8,5,16.71,0.103774,0.157642,0.727273,2,6
0,1577,10,1,76.93,0.0126823,0.0487825,0.5,9,6
0,1697,0,5,86.31,0.0111962,0.0508603,0,4,6
0,589,6,2,35.82,0.0118846,0.0608149,0.857143,2,6
0,103,7,1,77.49,0.106796,0.75233,0.636364,1,3
0,1335,5,4,64.1,0.0082397,0.048015,0.454545,9,3
0,271,8,0,24.16,0.0885609,0.0891513,0.333333,5,3
0,648,3,2,75.13,0.00308642,0.115941,1.5,9,2
0,1568,11,2,62.81,0.00255102,0.0400574,2.75,1,6
0,1388,0,0,96.9,0.0216138,0.0698127,0,3,5
0,1607,3,2,56.36,0.00124456,0.0350716,1.5,9,2
0,963,10,2,72.53,0.0207684,0.0753167,0.5,2,1
0,1589,2,4,75.11,0.0106986,0.0472687,0.117647,2,5
0,1475,7,1,19.36,0.0101695,0.0131254,0.466667,10,3
0,1427,5,1,69.71,0.0126139,0.0488507,0.277778,8,4
0,712,0,0,10.24,0.00842697,0.014382,0,1,2
0,1046,8,3,1.48,0.0162524,0.00141491,0.470588,10,3
0,1405,11,0,7.52,0.0170819,0.00535231,0.458333,0,4
0,1506,3,0,74.8,0.00464807,0.049668,0.428571,10,6
0,1455,7,5,27.93,0.0137457,0.0191959,0.35,2,6
0,553,9,2,32.03,0.0289331,0.0579204,0.5625,3,2
0,1010,7,0,30.23,0.0019802,0.0299307,3.5,8,3
0,292,7,5,45.09,0.0582192,0.154418,0.411765,4,6
0,295,2,5,71.44,0.040678,0.242169,0.166667,7,2
0,317,8,3,87.46,0.0504732,0.275899,0.5,0,6
0,1359,2,4,55.37,0.00294334,0.0407432,0.5,4,5
0,263,3,1,49.65,0.0494297,0.188783,0.230769,6,2
0,957,6,1,22.32,0.0271682,0.0233229,0.230769,7,6
0,160,3,4,69.87,0.13125,0.436688,0.142857,3,2
0,606,7,4,67.88,0.019802,0.112013,0.583333,6,4
0,1085,4,0,3.59,0.0202765,0.00330876,0.181818,3,6
0,1126,10,1,93.91,0.0222025,0.0834014,0.4,0,3
0,457,2,4,39.08,0.00656455,0.0855142,0.666667,4,3
0,1813,11,4,85.04,0.00772201,0.0469057,0.785714,9,3
0,345,0,3,62.51,0.0347826,0.181188,0,8,2
0,1306,4,4,68.56,0.00995406,0.0524962,0.307692,6,6
0,1234,6,0,97.12,0.0194489,0.0787034,0.25,9,6
0,1563,3,0,4.38,0.0134357,0.0028023,0.142857,6,6
0,743,11,0,16.1,0.0013459,0.0216689,11,8,5
0,1546,7,0,44.28,0.0161708,0.0286417,0.28,0,2
0,128,0,5,85.93,0.203125,0.671328,0,3,6
0,419,2,2,63.76,0.0190931,0.152172,0.25,1,1
0,124,2,5,60.44,0.0403226,0.487419,0.4,5,1
0,10,5,2,96.92,0.6,9.692,0.833333,4,4
0,1316,10,2,49.06,0.0136778,0.0372796,0.555556,9,5
0,1247,1,3,43.74,0.0128308,0.0350762,0.0625,3,2
0,1013,8,2,35.19,0.0246792,0.0347384,0.32,0,6
0,52,10,1,94.95,0.326923,1.82596,0.588235,10,5
0,450,2,4,45.33,0.04,0.100733,0.111111,4,5
0,1265,8,0,10.82,0.0158103,0.00855336,0.4,2,1
0,543,5,5,46.37,0.0497238,0.0853959,0.185185,10,5
0,973,4,5,91.88,0.0226105,0.0944296,0.181818,10,4
0,976,7,5,63.54,0.0245902,0.0651025,0.291667,0,6
0,1212,8,3,3.19,0.0049505,0.00263201,1.33333,0,5
0,1551,11,1,45.56,0.0174081,0.0293746,0.407407,9,6
0,1502,2,3,49.15,0.00199734,0.032723,0.666667,0,1
0,997,9,2,79.04,0.0140421,0.0792778,0.642857,5,5
1,1398,7,2,98.5,0.0200286,0.0704578,0.25,5,2
0,569,6,3,50.11,0.00702988,0.0880668,1.5,10,6
0,237,9,2,92.76,0.0421941,0.391392,0.9,4,2
0,974,4,2,33.46,0.0112936,0.0343532,0.363636,3,3
0,363,7,2,56.51,0.0688705,0.155675,0.28,10,5
0,1053,9,1,32.74,0.0104463,0.0310921,0.818182,0,2
0,1157,10,2,10.37,0.0146932,0.00896283,0.588235,5,1
0,745,4,4,75.95,0.0241611,0.101946,0.222222,8,2
0,456,3,4,61.22,0.0438596,0.134254,0.15,1,6
0,1362,9,1,24.37,0.00146843,0.0178928,4.5,0,6
0,1744,1,4,64.16,0.00573394,0.036789,0.1,3,2
0,961,1,3,58.53,0.0228928,0.0609053,0.0454545,0,3
0,1268,8,2,59.54,0.0165615,0.0469558,0.380952,7,6
0,194,6,3,85.27,0.0154639,0.439536,2,5,2
0,1545,10,1,37.22,0.00841424,0.0240906,0.769231,8,5
0,277,1,4,11.54,0.032491,0.0416606,0.111111,2,1
1,1394,11,0,73.74,0.0129125,0.0528981,0.611111,8,1
0,1110,11,0,14.25,0.0018018,0.0128378,5.5,0,6
0,519,5,5,74.4,0.0404624,0.143353,0.238095,6,2
0,339,5,3,5.91,0.0737463,0.0174336,0.2,8,4
0,1631,6,2,36.31,0.0030656,0.0222624,1.2,5,3
0,1786,2,3,2.56,0.00615901,0.00143337,0.181818,2,2
0,671,10,1,40.68,0.0104322,0.0606259,1.42857,2,3
0,1207,3,4,24.1,0.014913,0.0199669,0.166667,1,5
0,1746,5,1,11.88,0.0143184,0.00680412,0.2,3,5
0,548,2,1,11.55,0.00182482,0.0210766,2,6,2
0,441,11,4,7.54,0.047619,0.0170975,0.52381,4,4
0,331,2,0,36.99,0.0664653,0.111752,0.0909091,3,4
0,1142,10,1,72.39,0.0236427,0.0633888,0.37037,4,6
0,1224,11,1,73.84,0.0171569,0.0603268,0.52381,6,6
0,30,8,3,95.27,0.766667,3.17567,0.347826,9,3
0,1597,11,3,11.49,0.010645,0.00719474,0.647059,2,3
0,807,7,1,21.63,0.00743494,0.026803,1.16667,0,3
1,1523,11,1,37.27,0.0118188,0.0244714,0.611111,6,1
0,514,5,0,69.16,0.00194553,0.134553,5,4,5
0,34,4,5,80.81,0.794118,2.37676,0.148148,5,4
1,1093,3,5,49.12,0.021043,0.0449405,0.130435,10,1
0,1597,5,4,50.72,0.0156544,0.0317595,0.2,3,4
0,135,11,2,81.43,0.125926,0.603185,0.647059,5,4
0,4,9,1,90.82,5.5,22.705,0.409091,4,6
0,25,8,0,52.34,0.6,2.0936,0.533333,1,5
0,131,11,4,15.24,0.0992366,0.116336,0.846154,8,4
0,1415,11,1,89.64,0.00918728,0.0633498,0.846154,4,1
0,845,5,3,32.62,0.0142012,0.0386036,0.416667,6,5
0,973,9,2,62.27,0.00924974,0.0639979,1,6,4
0,1290,11,4,30.32,0.0131783,0.0235039,0.647059,8,4
0,1012,5,0,11.46,0.0118577,0.0113241,0.416667,8,4
0,367,1,5,45.88,0.0681199,0.125014,0.04,3,1
0,1752,4,2,83.25,0.00742009,0.0475171,0.307692,2,6
0,1141,3,0,15.66,0.0035057,0.0137248,0.75,10,3
0,1558,6,2,84.02,0.00577664,0.0539281,0.666667,7,4
0,102,11,0,87.73,0.156863,0.860098,0.6875,2,5
0,1829,11,4,49.74,0.00765446,0.0271952,0.785714,10,2
0,1024,0,4,59.05,0.0136719,0.057666,0,9,6
1,1447,9,5,77.12,0.015895,0.0532965,0.391304,8,1
0,437,4,5,70.01,0.0297483,0.160206,0.307692,10,4
0,1375,2,3,64.61,0.00945455,0.0469891,0.153846,2,1
0,439,1,4,18.29,0.0432802,0.0416629,0.0526316,9,6
0,433,11,0,1.51,0.00923788,0.0034873,2.75,3,1
0,1294,2,2,23.15,0.015456,0.0178903,0.1,2,6
0,696,6,2,67,0.0301724,0.0962644,0.285714,8,3
0,1597,11,0,11.11,0.018159,0.00695679,0.37931,3,3
0,568,1,2,6.01,0.0457746,0.010581,0.0384615,9,3
0,1663,8,1,40.33,0.0138304,0.0242514,0.347826,7,4
0,1549,1,0,76.55,0.00258231,0.049419,0.25,9,3
0,553,6,3,14.18,0.0253165,0.025642,0.428571,8,6
0,816,9,3,97.3,0.00122549,0.11924,9,0,5
0,1451,8,4,98.49,0.0165403,0.0678773,0.333333,9,2
1,498,9,4,57.17,0.0582329,0.114799,0.310345,10,1
0,1795,0,3,63.73,0.0155989,0.0355042,0,6,5
0,472,8,0,4.82,0.00423729,0.0102119,4,1,3
0,1607,4,3,26.72,0.00311139,0.0166273,0.8,7,1
0,527,0,0,77.62,0.0531309,0.147287,0,9,6
0,1037,5,3,89.42,0.00192864,0.0862295,2.5,4,6
0,50,4,4,51,0.5,1.02,0.16,8,3
0,623,9,2,52.89,0.0337079,0.0848957,0.428571,7,4
0,446,3,1,9.72,0.029148,0.0217937,0.230769,10,6
0,952,6,0,35.83,0.0136555,0.0376366,0.461538,4,1
0,1721,0,5,91.29,0.00871586,0.0530447,0,1,1
0,3,5,1,68.15,5.33333,22.7167,0.3125,3,4
0,730,11,3,63.85,0.00136986,0.0874658,11,10,1
0,1121,4,2,90.34,0.014273,0.0805888,0.25,3,6
0,686,0,3,93.08,0.0422741,0.135685,0,5,4
0,1089,11,3,90.66,0.0238751,0.0832507,0.423077,5,6
0,732,8,0,24.36,0.0314208,0.0332787,0.347826,0,5
0,1209,1,3,20.89,0.0124069,0.0172787,0.0666667,6,1
0,1064,2,5,12.8,0.00093985,0.0120301,2,9,3
0,999,4,3,67.02,0.011011,0.0670871,0.363636,5,2
0,749,6,0,49.64,0.0333778,0.066275,0.24,2,5
0,1499,8,0,72.86,0.00667111,0.0486057,0.8,3,2
0,1421,11,3,63.81,0.00281492,0.044905,2.75,1,3
0,456,7,3,62.7,0.00219298,0.1375,7,6,5
0,1763,8,0,73.15,0.00567215,0.0414918,0.8,7,4
0,798,9,2,40.87,0.0137845,0.0512155,0.818182,6,1
0,179,5,4,1.92,0.0949721,0.0107263,0.294118,5,2
0,1678,8,1,52.42,0.0154946,0.0312396,0.307692,7,4
0,1601,3,3,99.43,0.00562149,0.0621049,0.333333,8,6
0,1094,5,2,84.56,0.0100548,0.0772943,0.454545,2,2
0,1352,8,1,10.14,0.00887574,0.0075,0.666667,5,5
0,1728,10,2,97.43,0.015625,0.0563831,0.37037,9,5
0,1190,3,4,47.94,0.0184874,0.0402857,0.136364,2,4
0,1762,0,3,11.35,0.00113507,0.00644154,0,1,2
0,1756,2,5,39.67,0.0170843,0.0225911,0.0666667,1,2
0,1253,0,4,97.6,0.00558659,0.0778931,0,3,6
0,741,11,0,61.36,0.0134953,0.082807,1.1,8,5
0,220,6,4,10.53,0.0636364,0.0478636,0.428571,4,6
0,717,7,4,32.93,0.0027894,0.0459275,3.5,3,4
0,1365,9,3,0.49,0.0102564,0.000358974,0.642857,3,2
0,121,5,0,36.47,0.0495868,0.301405,0.833333,3,2
0,479,1,1,80.42,0.0375783,0.167891,0.0555556,1,6
0,1002,10,2,28.94,0.0299401,0.0288822,0.333333,10,4
0,1597,11,4,85.99,0.00563557,0.0538447,1.22222,6,2
0,1456,11,3,62.95,0.0130495,0.0432349,0.578947,9,6
0,1020,8,4,29.81,0.0127451,0.0292255,0.615385,5,5
0,358,6,4,41.16,0.0223464,0.114972,0.75,1,6
0,248,2,0,25.71,0.0201613,0.103669,0.4,10,1
0,674,3,2,35.44,0.0148368,0.0525816,0.3,1,3
0,605,1,4,1.7,0.00330579,0.00280992,0.5,4,5
0,445,11,3,59.19,0.0337079,0.133011,0.733333,8,6
1,697,5,2,68.11,0.0373027,0.0977188,0.192308,5,1
1,1632,9,3,9.86,0.0147059,0.00604167,0.375,3,1
0,1823,4,4,40.21,0.00383982,0.022057,0.571429,9,2
0,9,5,0,23.99,1.55556,2.66556,0.357143,7,6
0,1611,9,5,21.9,0.0130354,0.013594,0.428571,8,3
0,220,2,3,10.68,0.127273,0.0485455,0.0714286,8,3
0,1248,4,0,23.46,0.00400641,0.0187981,0.8,2,5
0,141,3,3,30.47,0.070922,0.216099,0.3,10,5
0,1306,5,1,93.05,0.017611,0.0712481,0.217391,1,2
0,334,9,2,89.94,0.0868263,0.269281,0.310345,7,6
0,1023,7,1,51.41,0.00977517,0.0502542,0.7,3,4
0,506,9,5,14.5,0.0177866,0.0286561,1,3,3
0,165,3,0,45.94,0.0242424,0.278424,0.75,10,5
0,71,9,1,25.89,0.056338,0.364648,2.25,6,2
0,203,8,2,49.64,0.0295567,0.244532,1.33333,8,3
0,1413,10,2,8.62,0.0127389,0.0061005,0.555556,8,6
0,1212,1,2,32.58,0.0173267,0.0268812,0.047619,3,2
0,241,7,3,48.26,0.0705394,0.200249,0.411765,6,1
0,639,0,1,63.74,0.029734,0.0997496,0,9,5
0,898,6,4,59.09,0.0200445,0.0658018,0.333333,1,2
0,161,3,2,64.61,0.00621118,0.401304,3,1,5
0,861,6,4,78.4,0.0313589,0.0910569,0.222222,3,2
0,349,10,5,26.52,0.0859599,0.0759885,0.333333,10,4
0,495,10,2,11.7,0.0444444,0.0236364,0.454545,10,5
0,46,8,1,9.02,0.108696,0.196087,1.6,7,4
0,1064,2,3,15.15,0.0206767,0.0142387,0.0909091,4,6
0,1340,11,1,12.46,0.00820896,0.00929851,1,2,4
0,617,11,3,60.34,0.0243112,0.0977958,0.733333,4,2
0,1135,4,3,7.24,0.0114537,0.00637885,0.307692,7,5
0,998,7,4,10.86,0.00901804,0.0108818,0.777778,1,6
0,493,2,0,82.65,0.040568,0.167647,0.1,2,6
0,925,11,2,32.14,0.012973,0.0347459,0.916667,7,5
0,390,1,5,92.15,0.025641,0.236282,0.1,1,2
0,1072,9,5,17.05,0.00186567,0.0159049,4.5,1,6
0,1285,9,4,44.19,0.00700389,0.0343891,1,1,2
0,656,2,4,99.42,0.0335366,0.151555,0.0909091,5,3
0,504,1,3,5.08,0.0416667,0.0100794,0.047619,0,3
0,1713,8,4,36.66,0.00758903,0.0214011,0.615385,8,4
0,985,11,3,92.23,0.022335,0.0936345,0.5,10,5
0,132,10,4,4.47,0.19697,0.0338636,0.384615,5,3
0,1614,2,2,22.54,0.0179678,0.0139653,0.0689655,4,6
0,506,1,5,52.25,0.0434783,0.103261,0.0454545,8,1
0,11,0,2,99.1,0.454545,9.00909,0,10,2
0,1708,1,0,75.52,0.00819672,0.0442155,0.0714286,9,2
0,446,11,4,6.78,0.00672646,0.0152018,3.66667,1,2
0,1223,11,0,65.52,0.00327065,0.0535732,2.75,1,6
0,490,3,4,37.05,0.0489796,0.0756122,0.125,5,5
0,1432,9,3,16.35,0.00139665,0.0114176,4.5,9,5
0,1625,5,0,41.61,0.00430769,0.0256062,0.714286,10,5
0,498,6,0,59.77,0.00200803,0.12002,6,9,2
0,73,9,3,7.65,0.260274,0.104795,0.473684,4,3
0,185,9,3,70.58,0.0918919,0.381514,0.529412,1,4
0,1468,3,2,40.78,0.010218,0.0277793,0.2,2,6
0,905,5,1,95.12,0.00110497,0.105105,5,1,5
0,1141,3,2,86.68,0.0192813,0.0759684,0.136364,8,3
0,1372,0,4,21.76,0.0058309,0.0158601,0,9,1
0,855,10,1,20.39,0.0339181,0.023848,0.344828,0,4
0,1498,6,2,23.8,0.00600801,0.0158879,0.666667,1,6
0,1744,2,2,27.36,0.0131881,0.0156881,0.0869565,10,5
0,66,11,4,27.2,0.106061,0.412121,1.57143,6,2
0,1670,6,0,37.18,0.0173653,0.0222635,0.206897,4,3
1,1384,5,1,61.84,0.0187861,0.0446821,0.192308,6,1
0,1442,4,4,40.48,0.00138696,0.0280721,2,8,3
0,881,9,5,96.14,0.0113507,0.109126,0.9,7,4
0,273,7,0,53.68,0.029304,0.19663,0.875,4,2
0,668,5,4,2.31,0.0419162,0.00345808,0.178571,8,5
0,1307,3,1,48.01,0.0175976,0.036733,0.130435,1,1
0,1216,2,2,12.53,0.00328947,0.0103043,0.5,5,3
0,1672,0,3,98.66,0.00777512,0.0590072,0,6,2
0,1623,9,2,58.94,0.00739372,0.0363155,0.75,0,5
0,1419,1,0,17.15,0.0155039,0.012086,0.0454545,7,3
0,765,8,3,81.37,0.0392157,0.106366,0.266667,6,3
0,1198,9,2,60.68,0.000834725,0.0506511,9,2,4
0,1314,8,5,43.51,0.00456621,0.0331126,1.33333,0,2
0,1441,4,4,7.36,0.00277585,0.00510756,1,6,3
0,566,5,1,21.59,0.040636,0.0381449,0.217391,4,5
0,1703,5,3,44.62,0.0011744,0.0262008,2.5,10,3
0,878,0,1,34.71,0.00797267,0.039533,0,1,1
0,754,7,4,42.4,0.0238727,0.0562334,0.388889,1,2
0,789,1,4,7.44,0.0139417,0.00942966,0.0909091,2,1
0,1235,3,2,99.8,0.0145749,0.0808097,0.166667,0,6
0,1535,8,1,88.75,0.00325733,0.0578176,1.6,7,2
0,532,1,5,49.93,0.0338346,0.0938534,0.0555556,5,1
0,498,1,0,80.07,0.0361446,0.160783,0.0555556,4,3
0,1794,11,5,39.06,0.00111483,0.0217726,5.5,1,3
0,304,3,1,34.79,0.0789474,0.114441,0.125,8,2
0,1615,6,5,46.15,0.00619195,0.0285759,0.6,0,5
0,1604,0,1,6.85,0.00436409,0.00427057,0,4,2
0,1745,9,0,6.52,0.0034384,0.00373639,1.5,2,4
0,461,8,5,64.35,0.0281996,0.139588,0.615385,3,3
0,1139,3,3,25.65,0.00526778,0.0225198,0.5,4,6
0,53,3,1,49.06,0.45283,0.92566,0.125,9,2
0,1512,1,0,97.81,0.00529101,0.0646892,0.125,6,3
0,409,6,1,41.25,0.0342298,0.100856,0.428571,2,5
0,1547,8,0,97.59,0.0116354,0.0630834,0.444444,6,2
0,166,10,4,73.4,0.108434,0.442169,0.555556,4,1
0,768,3,2,89.5,0.00911458,0.116536,0.428571,5,1
0,1523,6,3,99.31,0.0111622,0.0652068,0.352941,7,2
0,798,1,3,58.46,0.0238095,0.0732581,0.0526316,4,3
0,839,4,5,85.68,0.0131108,0.102122,0.363636,5,1
0,1188,11,0,26.96,0.00757576,0.0226936,1.22222,4,4
0,225,7,0,59.27,0.00444444,0.263422,7,3,6
0,485,0,3,36.93,0.0536082,0.0761443,0,8,3
0,1827,3,2,93.76,0.00766284,0.0513191,0.214286,2,6
0,1216,3,5,66.87,0.00328947,0.0549918,0.75,10,6
0,254,8,3,28.24,0.0511811,0.111181,0.615385,6,1
0,706,6,2,82.14,0.0113314,0.116346,0.75,7,5
0,885,6,0,92.41,0.0169492,0.104418,0.4,5,6
0,809,4,2,26.59,0.0173053,0.0328677,0.285714,3,5
1,1725,9,0,90.18,0.0115942,0.0522783,0.45,10,1
0,1467,9,5,40.66,0.000681663,0.0277164,9,3,3
0,84,8,2,69.94,0.22619,0.832619,0.421053,5,3
0,1311,3,3,94.79,0.0114416,0.0723036,0.2,6,1
0,858,4,0,8.39,0.00582751,0.00977855,0.8,7,4
0,1291,7,4,91.43,0.0139427,0.0708211,0.388889,2,3
0,1424,1,1,45.29,0.0161517,0.0318048,0.0434783,9,6
0,1210,10,5,72.6,0.00743802,0.06,1.11111,2,4
0,1752,6,3,91.37,0.010274,0.0521518,0.333333,10,5
0,69,6,3,53.14,0.15942,0.770145,0.545455,1,2
0,1099,11,3,38.63,0.000909918,0.0351501,11,5,6
0,332,9,0,74.42,0.0813253,0.224157,0.333333,9,6
0,1515,11,5,18.48,0.00924092,0.012198,0.785714,2,1
0,1553,9,2,23.71,0.0115905,0.0152672,0.5,2,1
0,395,2,1,8.88,0.035443,0.022481,0.142857,0,6
0,259,0,4,63.55,0.019305,0.245367,0,9,5
0,118,4,1,90.32,0.0847458,0.765424,0.4,9,5
0,1483,9,3,68.68,0.00674309,0.0463115,0.9,2,2
0,413,6,4,51.45,0.0145278,0.124576,1,5,4
0,1232,7,1,24.45,0.00487013,0.0198458,1.16667,9,5
0,1336,3,2,78.96,0.0127246,0.0591018,0.176471,0,1
0,1381,10,5,64.68,0.00362056,0.0468356,2,0,1
0,1400,7,5,45.12,0.0178571,0.0322286,0.28,0,2
1,1707,4,0,67.3,0.0146456,0.0394259,0.16,6,1
0,1540,0,0,11.67,0.0116883,0.00757792,0,3,4
0,829,3,1,7.55,0.0168878,0.00910736,0.214286,10,2
0,1049,9,4,20.31,0.00285987,0.0193613,3,0,1
0,1697,6,1,73.37,0.0023571,0.0432351,1.5,1,1
0,1810,8,4,7.39,0.00331492,0.00408287,1.33333,5,6
0,219,4,5,50.48,0.0913242,0.230502,0.2,7,4
0,713,1,0,20.52,0.0350631,0.0287798,0.04,1,1
0,283,0,3,57.96,0.0459364,0.204806,0,7,4
0,667,10,0,69.49,0.0374813,0.104183,0.4,3,5
0,1407,3,5,40.96,0.010661,0.0291116,0.2,4,6
0,155,9,2,8.16,0.0967742,0.0526452,0.6,2,6
0,1689,9,1,25.46,0.0124334,0.015074,0.428571,0,5
0,1149,9,3,80.56,0.0147955,0.0701131,0.529412,6,5
1,465,6,1,47.05,0.0602151,0.101183,0.214286,9,1
0,144,0,1,71.69,0.0277778,0.497847,0,6,1
0,24,5,5,64.42,0.5,2.68417,0.416667,1,5
0,122,9,0,39.22,0.237705,0.321475,0.310345,7,4
0,811,6,1,36.24,0.02836,0.0446856,0.26087,7,2
0,632,6,4,58.43,0.0189873,0.0924525,0.5,8,6
1,1298,6,3,74.47,0.0200308,0.0573729,0.230769,3,1
0,1188,5,0,1.46,0.020202,0.00122896,0.208333,1,6
0,637,10,5,99.81,0.021978,0.156688,0.714286,4,4
1,1408,6,5,88.97,0.0184659,0.0631889,0.230769,1,1
0,385,9,2,34.46,0.0337662,0.0895065,0.692308,6,5
0,1371,11,3,78.96,0.0131291,0.057593,0.611111,6,4
0,912,5,1,85.13,0.00657895,0.0933443,0.833333,7,3
0,168,5,3,41.42,0.00595238,0.246548,5,10,3
0,1155,0,0,31.13,0.00952381,0.0269524,0,0,6
0,1668,6,2,28.78,0.0125899,0.0172542,0.285714,1,2
0,305,5,5,65.08,0.0262295,0.213377,0.625,9,6
0,1580,9,4,9.74,0.014557,0.00616456,0.391304,5,5
0,333,7,1,26.79,0.00900901,0.0804505,2.33333,1,3
0,390,11,0,14.8,0.0461538,0.0379487,0.611111,7,4
0,1069,0,4,93.07,0.0215154,0.0870627,0,9,2
0,1271,11,1,59.71,0.00472069,0.0469788,1.83333,5,2
0,1404,4,5,84.46,0.0206553,0.0601567,0.137931,8,6
0,976,3,1,75.28,0.022541,0.0771311,0.136364,9,2
0,201,0,1,72.45,0.134328,0.360448,0,5,3
0,744,4,2,63.86,0.00268817,0.0858333,2,3,1
